"ID","GOODS_TITLE","GOODS_PID","GOODS_PRICE","GOODS_IMG","GOODS_SALE","GOODS_URL"
"1","口红持久保湿不脱色不沾杯西柚色豆沙色唇膏","538394398659","35.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i3/116502791/TB2FryGcsic_eJjSZFnXXXVwVXa_!!0-saturn_solar.jpg","52367人付款","https://detail.tmall.com/item.htm?id=538394398659"
"2","Givenchy/纪梵希新款禁忌之吻口红唇膏新款水墨大理石口红限量25#","550095058276","218.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/3188981170/TB1QKokfZnI8KJjSspeXXcwIpXa_!!0-item_pic.jpg","286人付款","https://detail.tmall.com/item.htm?id=550095058276"
"3","包邮美宝莲好气色轻唇膏咬唇妆口红润唇膏保湿女士滋润防脱色","528190991125","55.90","https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2815802799/TB115bRX6gy_uJjSZKbXXXXkXXa_!!0-item_pic.jpg","468人付款","https://detail.tmall.com/item.htm?id=528190991125"
"4","【春春同款】欧莱雅口红纷泽滋润唇膏 色泽持久保湿 M406 619","7904836346","120.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/533497499/TB1s1ygiInI8KJjSsziXXb8QpXa_!!0-item_pic.jpg","8235人付款","https://detail.tmall.com/item.htm?id=7904836346"
"5","碧奥泉口红持久保湿不脱色韩国防水学生款可爱不沾杯变色唇膏正品","534769317751","36.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2923112874/TB16GgFhZnI8KJjSsziXXb8QpXa_!!0-item_pic.jpg","38200人付款","https://detail.tmall.com/item.htm?id=534769317751"
"6","MAC/魅可子弹头口红正品唇膏chili小辣椒西柚色人鱼姬豆沙色mocha","546724870335","170.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/3170729146/TB1PmEFidfJ8KJjy0FeXXXKEXXa_!!0-item_pic.jpg","83759人付款","https://detail.tmall.com/item.htm?id=546724870335"
"7","Dior/迪奥全新烈艳蓝金唇膏3.5g口红520/999/080/567哑光滋润","35865469573","228.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1830887781/TB1w8ZUb6gy_uJjSZPxXXanNpXa_!!0-item_pic.jpg","17213人付款","https://detail.tmall.com/item.htm?id=35865469573"
"8","美宝莲陈伟霆定制 小灯管唇膏纵情耀绝色持久保湿滋润唇釉口红","557257278219","109.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/743750137/TB1w5a1iILJ8KJjy0FnXXcFDpXa_!!0-item_pic.jpg","8413人付款","https://detail.tmall.com/item.htm?id=557257278219"
"9","theSAEM得鲜唇膏持久保湿不脱色韩国防水豆沙姨妈色哑光口红正品","529490016681","69.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2820981703/TB1a03XiMDD8KJjy0FdXXcjvXXa_!!0-item_pic.jpg","38668人付款","https://detail.tmall.com/item.htm?id=529490016681"
"10","美宝莲雾感哑光唇膏 陈伟霆女皇色口红 吃土色MNU09 持久不易褪色","541236751066","109.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/743750137/TB1i2V_iS_I8KJjy0FoXXaFnVXa_!!0-item_pic.jpg","5017人付款","https://detail.tmall.com/item.htm?id=541236751066"
"11","【直营】Christian Dior 迪奥粉漾诱惑变色润唇膏 变色口红 3.5g","549903340968","239.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2549841410/TB2FCsocJLO8KJjSZPcXXaV0FXa_!!2549841410-0-sm.jpg","9841人付款","https://detail.tmall.com/item.htm?id=549903340968"
"12","Chanel/香奈儿炫亮魅力丝绒唇膏3.5g 口红 打造美唇43 42","43162747996","269.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1830887781/TB1lhw3h_nI8KJjSszbXXb4KFXa_!!0-item_pic.jpg","11785人付款","https://detail.tmall.com/item.htm?id=43162747996"
"13","欧莱雅口红纷泽琉光奢润唇釉 金管唇彩持久滋润保湿唇纹307枫叶色","41210754770","120.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/533497499/TB1QBb4ckfb_uJkSne1XXbE4XXa_!!0-item_pic.jpg","4387人付款","https://detail.tmall.com/item.htm?id=41210754770"
"14","MAC/魅可新色子弹头唇膏口红当季潮色酒红玫瑰风情秋冬色持久","558803677297","170.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/3170729146/TB1HJgOilHH8KJjy0FbXXcqlpXa_!!0-item_pic.jpg","9698人付款","https://detail.tmall.com/item.htm?id=558803677297"
"15","卡姿兰口红持久保湿不脱色不沾杯非韩国防水学生颜控唇釉唇膏正品","35090351008","99.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1087734489/TB1FAJqigDD8KJjy0FdXXcjvXXa_!!0-item_pic.jpg","6097人付款","https://detail.tmall.com/item.htm?id=35090351008"
"16","【圣诞】兰蔻菁纯柔润丝缎唇膏滋润口红唇彩持久显色 132刘涛同款","537286782401","270.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2360209412/TB1S_eRiBTH8KJjy0FiXXcRsXXa_!!0-item_pic.jpg","5343人付款","https://detail.tmall.com/item.htm?id=537286782401"
"17","【直营】YSL 圣罗兰 方管唇膏口红正品 3.8g 星星色52 1 13 17","552461663816","288.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2549841410/TB10BLRcBTH8KJjy0FiXXcRsXXa_!!0-item_pic.jpg","1990人付款","https://detail.tmall.com/item.htm?id=552461663816"
"18","现货色号正品CHANEL香奈儿口红2017圣诞限量版红管N1N2N3N4/43/58","561395236919","258.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/1072137394/TB2ojCqftzJ8KJjSspkXXbF7VXa_!!1072137394.jpg","2718人付款","https://detail.tmall.com/item.htm?id=561395236919"
"19","Dior迪奥烈焰蓝金唇膏3.5gCD烈艳蓝星口红持久保湿不脱色999/080","41614819055","219.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2030131140/TB10Jl.innI8KJjy0FfXXcdoVXa_!!0-item_pic.jpg","4647人付款","https://detail.tmall.com/item.htm?id=41614819055"
"20","专柜正品MAC魅可口红唇膏cockney草莓红ruby woo哑光小豆沙辣椒色","561996322919","102.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2961261646/TB2b8wjb0HO8KJjSZFHXXbWJFXa_!!2961261646.jpg","3529人付款","https://detail.tmall.com/item.htm?id=561996322919"
"21","TOMFORD TF汤姆福特哑光唇膏口红黑金黑管保湿持久15 16白管07 05","550885453210","278.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/328353828/TB2TaZLawjN8KJjSZFgXXbjbVXa_!!328353828.jpg","2666人付款","https://detail.tmall.com/item.htm?id=550885453210"
"22","MAC魅可口红唇膏cockney ruby woo diva秀智色西柚色草莓红豆沙色","24276968274","120.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/16835964/TB2RlHahL6H8KJjSspmXXb2WXXa_!!16835964.jpg","3532人付款","https://detail.tmall.com/item.htm?id=24276968274"
"23","正品 YSL圣罗兰口红迷魅方管唇膏 滋润保湿持久饱和 52#/1#/7#","40191211729","239.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2030131140/TB1gg0xc_fN8KJjSZFjXXXGvpXa_!!0-item_pic.jpg","3804人付款","https://detail.tmall.com/item.htm?id=40191211729"
"24","传奇今生红樱桃润唇膏正品专柜legend age保湿防干裂健康变色口红","562455019926","188.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/38025646/TB2ydPfgxHI8KJjy1zbXXaxdpXa_!!38025646.png","1616人付款","https://detail.tmall.com/item.htm?id=562455019926"
"25","ysl圣罗兰方管口红唇膏52/17/13/1/正品豆沙滋润持久保湿不脱色","553876756280","213.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/757918114/TB1iVqIiNHI8KJjy1zbXXaxdpXa_!!0-item_pic.jpg","6168人付款","https://detail.tmall.com/item.htm?id=553876756280"
"26","Givenchy/纪梵希小羊皮定制口红唇膏307/315/306/304/305/103/105","536511770178","233.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2931882690/TB2wsF7tVXXXXbjXpXXXXXXXXXX_!!2931882690.jpg","3736人付款","https://detail.tmall.com/item.htm?id=536511770178"
"27","【直营】Dior迪奥 烈焰蓝金唇膏 CD口红 傲姿唇膏 3.5g 999 080","550089065029","259.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2549841410/TB1U.OfcxPI8KJjSspoXXX6MFXa_!!2-item_pic.png","2133人付款","https://detail.tmall.com/item.htm?id=550089065029"
"28","香港直发 YSL圣罗兰口红迷魅亮彩滋润圆管唇膏 32/13/7/9","40090197405","229.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2030131140/TB1aOhLilDH8KJjy1zeXXXjepXa_!!0-item_pic.jpg","1937人付款","https://detail.tmall.com/item.htm?id=40090197405"
"29","【直营】Christian Louboutin萝卜丁口红女王权杖口红唇膏 CL口红","547413488856","798.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2549841410/TB26rqHcLal9eJjSZFzXXaITVXa_!!2549841410-0-sm.jpg","1349人付款","https://detail.tmall.com/item.htm?id=547413488856"
"30","【直营】TOM FORD汤姆福特黑金黑管唇膏口红 tf口红 8 9 10 15 16","548916330692","389.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2549841410/TB1agS1cJnJ8KJjSszdXXaxuFXa_!!0-item_pic.jpg","1474人付款","https://detail.tmall.com/item.htm?id=548916330692"
"31","2017圣诞限量Givenchy 纪梵希小羊皮口红唇膏304/306/315/305/307","40944734611","212.85","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/118982956/TB2P_h_gQfb_uJjSsrbXXb6bVXa_!!118982956.jpg","1941人付款","https://detail.tmall.com/item.htm?id=40944734611"
"32","专柜正品迪奥烈艳蓝金唇膏口红999哑光888滋润028/520豆沙567/0","36940398776","227.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/757918114/TB1xSNBh_nI8KJjy0FfXXcdoVXa_!!0-item_pic.jpg","3970人付款","https://detail.tmall.com/item.htm?id=36940398776"
"33","阿玛尼唇釉红管Armani丝绒哑光口红405/504/501/400/402/408/301","37301125475","195.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/118982956/TB2Z.jJh_nI8KJjSszgXXc8ApXa_!!118982956.jpg","1847人付款","https://detail.tmall.com/item.htm?id=37301125475"
"34","专柜迪奥变色磨砂唇膏粉漾魅惑润唇蜜口红保湿滋润001/004/005","19219640853","205.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/757918114/TB1jIYdcJLO8KJjSZPcXXaV0FXa_!!0-item_pic.jpg","2719人付款","https://detail.tmall.com/item.htm?id=19219640853"
"35","正品迪奥变色磨砂润唇膏滋润粉漾魅惑口红橘色001 004 005 006","13034369674","185.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/144939/TB2l198iBHH8KJjy0FbXXcqlpXa_!!144939.jpg","3205人付款","https://detail.tmall.com/item.htm?id=13034369674"
"36","阿玛尼哑光口红红管黑管唇釉不脱色400#500#501#504#402#505#401","532612318288","215.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/89124828/TB2HZoecjgy_uJjSZJnXXbuOXXa_!!89124828.jpg","2801人付款","https://detail.tmall.com/item.htm?id=532612318288"
"37","【春春同款】欧莱雅口红纷泽滋润唇膏 色泽持久保湿 M406 619","7904836346","120.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/533497499/TB1s1ygiInI8KJjSsziXXb8QpXa_!!0-item_pic.jpg","8235人付款","https://detail.tmall.com/item.htm?id=7904836346"
"38","碧奥泉口红持久保湿不脱色韩国防水学生款可爱不沾杯变色唇膏正品","534769317751","36.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2923112874/TB16GgFhZnI8KJjSsziXXb8QpXa_!!0-item_pic.jpg","38200人付款","https://detail.tmall.com/item.htm?id=534769317751"
"39","MAC/魅可子弹头口红正品唇膏chili小辣椒西柚色人鱼姬豆沙色mocha","546724870335","170.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/3170729146/TB1PmEFidfJ8KJjy0FeXXXKEXXa_!!0-item_pic.jpg","83759人付款","https://detail.tmall.com/item.htm?id=546724870335"
"40","Dior/迪奥全新烈艳蓝金唇膏3.5g口红520/999/080/567哑光滋润","35865469573","228.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/1830887781/TB1w8ZUb6gy_uJjSZPxXXanNpXa_!!0-item_pic.jpg","17213人付款","https://detail.tmall.com/item.htm?id=35865469573"
"41","美宝莲陈伟霆定制 小灯管唇膏纵情耀绝色持久保湿滋润唇釉口红","557257278219","109.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/743750137/TB1w5a1iILJ8KJjy0FnXXcFDpXa_!!0-item_pic.jpg","8413人付款","https://detail.tmall.com/item.htm?id=557257278219"
"42","theSAEM得鲜唇膏持久保湿不脱色韩国防水豆沙姨妈色哑光口红正品","529490016681","69.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2820981703/TB1a03XiMDD8KJjy0FdXXcjvXXa_!!0-item_pic.jpg","38668人付款","https://detail.tmall.com/item.htm?id=529490016681"
"43","美宝莲雾感哑光唇膏 陈伟霆女皇色口红 吃土色MNU09 持久不易褪色","541236751066","109.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/743750137/TB1i2V_iS_I8KJjy0FoXXaFnVXa_!!0-item_pic.jpg","5017人付款","https://detail.tmall.com/item.htm?id=541236751066"
"44","【直营】Christian Dior 迪奥粉漾诱惑变色润唇膏 变色口红 3.5g","549903340968","239.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2549841410/TB2FCsocJLO8KJjSZPcXXaV0FXa_!!2549841410-0-sm.jpg","9841人付款","https://detail.tmall.com/item.htm?id=549903340968"
"45","Chanel/香奈儿炫亮魅力丝绒唇膏3.5g 口红 打造美唇43 42","43162747996","269.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1830887781/TB1lhw3h_nI8KJjSszbXXb4KFXa_!!0-item_pic.jpg","11785人付款","https://detail.tmall.com/item.htm?id=43162747996"
"46","欧莱雅口红纷泽琉光奢润唇釉 金管唇彩持久滋润保湿唇纹307枫叶色","41210754770","120.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/533497499/TB1QBb4ckfb_uJkSne1XXbE4XXa_!!0-item_pic.jpg","4387人付款","https://detail.tmall.com/item.htm?id=41210754770"
"47","MAC/魅可新色子弹头唇膏口红当季潮色酒红玫瑰风情秋冬色持久","558803677297","170.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/3170729146/TB1HJgOilHH8KJjy0FbXXcqlpXa_!!0-item_pic.jpg","9698人付款","https://detail.tmall.com/item.htm?id=558803677297"
"48","卡姿兰口红持久保湿不脱色不沾杯非韩国防水学生颜控唇釉唇膏正品","35090351008","99.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1087734489/TB1FAJqigDD8KJjy0FdXXcjvXXa_!!0-item_pic.jpg","6097人付款","https://detail.tmall.com/item.htm?id=35090351008"
"49","【圣诞】兰蔻菁纯柔润丝缎唇膏滋润口红唇彩持久显色 132刘涛同款","537286782401","270.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2360209412/TB1S_eRiBTH8KJjy0FiXXcRsXXa_!!0-item_pic.jpg","5343人付款","https://detail.tmall.com/item.htm?id=537286782401"
"50","【直营】YSL 圣罗兰 方管唇膏口红正品 3.8g 星星色52 1 13 17","552461663816","288.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2549841410/TB10BLRcBTH8KJjy0FiXXcRsXXa_!!0-item_pic.jpg","1990人付款","https://detail.tmall.com/item.htm?id=552461663816"
"51","现货色号正品CHANEL香奈儿口红2017圣诞限量版红管N1N2N3N4/43/58","561395236919","258.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1072137394/TB2ojCqftzJ8KJjSspkXXbF7VXa_!!1072137394.jpg","2718人付款","https://detail.tmall.com/item.htm?id=561395236919"
"52","Dior迪奥烈焰蓝金唇膏3.5gCD烈艳蓝星口红持久保湿不脱色999/080","41614819055","219.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2030131140/TB10Jl.innI8KJjy0FfXXcdoVXa_!!0-item_pic.jpg","4647人付款","https://detail.tmall.com/item.htm?id=41614819055"
"53","专柜正品MAC魅可口红唇膏cockney草莓红ruby woo哑光小豆沙辣椒色","561996322919","102.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2961261646/TB2b8wjb0HO8KJjSZFHXXbWJFXa_!!2961261646.jpg","3529人付款","https://detail.tmall.com/item.htm?id=561996322919"
"54","TOMFORD TF汤姆福特哑光唇膏口红黑金黑管保湿持久15 16白管07 05","550885453210","278.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/328353828/TB2TaZLawjN8KJjSZFgXXbjbVXa_!!328353828.jpg","2666人付款","https://detail.tmall.com/item.htm?id=550885453210"
"55","MAC魅可口红唇膏cockney ruby woo diva秀智色西柚色草莓红豆沙色","24276968274","120.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/16835964/TB2RlHahL6H8KJjSspmXXb2WXXa_!!16835964.jpg","3532人付款","https://detail.tmall.com/item.htm?id=24276968274"
"56","正品 YSL圣罗兰口红迷魅方管唇膏 滋润保湿持久饱和 52#/1#/7#","40191211729","239.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2030131140/TB1gg0xc_fN8KJjSZFjXXXGvpXa_!!0-item_pic.jpg","3804人付款","https://detail.tmall.com/item.htm?id=40191211729"
"57","传奇今生红樱桃润唇膏正品专柜legend age保湿防干裂健康变色口红","562455019926","188.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/38025646/TB2ydPfgxHI8KJjy1zbXXaxdpXa_!!38025646.png","1616人付款","https://detail.tmall.com/item.htm?id=562455019926"
"58","ysl圣罗兰方管口红唇膏52/17/13/1/正品豆沙滋润持久保湿不脱色","553876756280","213.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/757918114/TB1iVqIiNHI8KJjy1zbXXaxdpXa_!!0-item_pic.jpg","6168人付款","https://detail.tmall.com/item.htm?id=553876756280"
"59","Givenchy/纪梵希小羊皮定制口红唇膏307/315/306/304/305/103/105","536511770178","233.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2931882690/TB2wsF7tVXXXXbjXpXXXXXXXXXX_!!2931882690.jpg","3736人付款","https://detail.tmall.com/item.htm?id=536511770178"
"60","【直营】Dior迪奥 烈焰蓝金唇膏 CD口红 傲姿唇膏 3.5g 999 080","550089065029","259.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2549841410/TB1U.OfcxPI8KJjSspoXXX6MFXa_!!2-item_pic.png","2133人付款","https://detail.tmall.com/item.htm?id=550089065029"
"61","香港直发 YSL圣罗兰口红迷魅亮彩滋润圆管唇膏 32/13/7/9","40090197405","229.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2030131140/TB1aOhLilDH8KJjy1zeXXXjepXa_!!0-item_pic.jpg","1937人付款","https://detail.tmall.com/item.htm?id=40090197405"
"62","【直营】Christian Louboutin萝卜丁口红女王权杖口红唇膏 CL口红","547413488856","798.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2549841410/TB26rqHcLal9eJjSZFzXXaITVXa_!!2549841410-0-sm.jpg","1349人付款","https://detail.tmall.com/item.htm?id=547413488856"
"63","【直营】TOM FORD汤姆福特黑金黑管唇膏口红 tf口红 8 9 10 15 16","548916330692","389.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2549841410/TB1agS1cJnJ8KJjSszdXXaxuFXa_!!0-item_pic.jpg","1474人付款","https://detail.tmall.com/item.htm?id=548916330692"
"64","2017圣诞限量Givenchy 纪梵希小羊皮口红唇膏304/306/315/305/307","40944734611","212.85","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/118982956/TB2P_h_gQfb_uJjSsrbXXb6bVXa_!!118982956.jpg","1941人付款","https://detail.tmall.com/item.htm?id=40944734611"
"65","专柜正品迪奥烈艳蓝金唇膏口红999哑光888滋润028/520豆沙567/0","36940398776","227.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/757918114/TB1xSNBh_nI8KJjy0FfXXcdoVXa_!!0-item_pic.jpg","3970人付款","https://detail.tmall.com/item.htm?id=36940398776"
"66","阿玛尼唇釉红管Armani丝绒哑光口红405/504/501/400/402/408/301","37301125475","195.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/118982956/TB2Z.jJh_nI8KJjSszgXXc8ApXa_!!118982956.jpg","1847人付款","https://detail.tmall.com/item.htm?id=37301125475"
"67","专柜迪奥变色磨砂唇膏粉漾魅惑润唇蜜口红保湿滋润001/004/005","19219640853","205.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/757918114/TB1jIYdcJLO8KJjSZPcXXaV0FXa_!!0-item_pic.jpg","2719人付款","https://detail.tmall.com/item.htm?id=19219640853"
"68","正品迪奥变色磨砂润唇膏滋润粉漾魅惑口红橘色001 004 005 006","13034369674","185.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/144939/TB2l198iBHH8KJjy0FbXXcqlpXa_!!144939.jpg","3205人付款","https://detail.tmall.com/item.htm?id=13034369674"
"69","阿玛尼哑光口红红管黑管唇釉不脱色400#500#501#504#402#505#401","532612318288","215.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/89124828/TB2HZoecjgy_uJjSZJnXXbuOXXa_!!89124828.jpg","2801人付款","https://detail.tmall.com/item.htm?id=532612318288"
"70","YSL圣罗兰镜光黑管唇釉 镜面纯色唇彩唇蜜持久润色液体唇膏口红12","43487357034","219.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2030131140/TB1FvlxcGzB9uJjSZFMXXXq4XXa_!!0-item_pic.jpg","1251人付款","https://detail.tmall.com/item.htm?id=43487357034"
"71","正品Tom Ford/汤姆福特黑金黑管TF口红2g3g 06/16/08/15#保湿唇膏","556099255879","269.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1919417699/TB1KaeUisjI8KJjSsppXXXbyVXa_!!0-item_pic.jpg","2053人付款","https://detail.tmall.com/item.htm?id=556099255879"
"72","Tom Ford TF口红汤姆福特限量白管黑管5 16 10 07 7 15 9 05 44 8","526403714489","265.20","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/814394550/TB1WHQTb6gy_uJjSZTEXXcYkFXa_!!0-item_pic.jpg","2099人付款","https://detail.tmall.com/item.htm?id=526403714489"
"73","代购YSL/圣罗兰口红2017烟火烟花圣诞限量方管唇膏1#13#52号 现货","561924380483","258.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/272694386/TB2cs06a6gy_uJjSZTEXXcYkFXa_!!272694386.jpg","1069人付款","https://detail.tmall.com/item.htm?id=561924380483"
"74","Chanel/香奈儿炫亮魅力唇膏3.5g 丝绒口红 打造性感美唇42 43 58","44402438999","238.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/840820568/TB12YpOc2jM8KJjSZFyXXXdzVXa_!!0-item_pic.jpg","1957人付款","https://detail.tmall.com/item.htm?id=44402438999"
"75","Dior/迪奥口红烈艳蓝金唇膏999/520/888哑光滋润豆沙色圣诞礼物","37828059959","219.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1700514728/TB1Lh3shZrI8KJjy0FhXXbfnpXa_!!0-item_pic.jpg","2071人付款","https://detail.tmall.com/item.htm?id=37828059959"
"76","Chanel/香奈儿炫亮魅力口红丝绒唇膏3.5g持久保湿 42/43/58正品","561483092806","188.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/3337568912/TB2SsXnclTH8KJjy0FiXXcRsXXa_!!3337568912.jpg","1391人付款","https://detail.tmall.com/item.htm?id=561483092806"
"77","圣罗兰YSL口红唇膏不脱色姨妈色补水滋润斩男色方管圆管正品","557609559420","198.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/3371742146/TB2XpZef3fH8KJjy1zcXXcTzpXa_!!3371742146.jpg","2077人付款","https://detail.tmall.com/item.htm?id=557609559420"
"78","ysl圣罗兰方管圆管口红唇膏52/17/13/1/正品豆沙滋润持久保湿咬唇","40388958728","229.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/144939/TB2sg5LiMLD8KJjSszeXXaGRpXa_!!144939.jpg","1546人付款","https://detail.tmall.com/item.htm?id=40388958728"
"79","传奇今生红樱桃唇膏正品专柜legend age润唇膏健康变色口红","561096043060","188.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/750267319/TB2mreNaMvD8KJjSsplXXaIEFXa_!!750267319.jpg","2504人付款","https://detail.tmall.com/item.htm?id=561096043060"
"80","现货正品CHANEL香奈儿口红2017圣诞限量版红管N1N2N3N4/43/58/172","562605918344","180.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2147360282/TB2fyLhc1LM8KJjSZFqXXa7.FXa_!!2147360282.jpg","1257人付款","https://detail.tmall.com/item.htm?id=562605918344"
